indicator,indicator_code,location,location_code,period,value,value_numeric,value_ci,sex,residence,wealth_quintile
Number of under-five deaths,CM_01,Kenya,KEN,2010,17789,17 789,[15 866-19 921],Both sexes,Total,Total
Ever breastfed,NUT_BF_EVBF,Kenya,KEN,1993,96.9,96.9,,Q4,Urban,Total
Pertussis - number of reported cases,WHS3_43,Kenya,KEN,1979,22542,22 542,,,Rural,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2003,23,23.0,[19.9-26.3],Secondary or higher,Total,Total
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",NCD_BMI_25A,Kenya,KEN,2017,19.115503,19.1,[16.7-21.6],Male,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2016,2.2,2.2,[1.7-2.8],Female,Urban,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,1993,1.8,1.8,[1.1-3.1],36 to 47 months,Total,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2015,3.32563412,3.33,[1.3 - 6.48],Rural,Total,Total
Nursing personnel (number),HWF_0008,Kenya,KEN,2012,61769,61 769,,,Urban,Total
Ambient air pollution attributable deaths,AIR_41,Kenya,KEN,2013,26.8,27,[10-51],Both sexes,Rural,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2008,41.5,41.5,[38.5-44.5],Male,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2000,2.7,2.7,[1.8-3.9],Q2,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2020,2909.32135,2909.3,,Both sexes,Urban,Total
"Early Initiation of Breastfeeding, Children born in the last 24 months",NUT_BF_EIBF,Kenya,KEN,2008,56.9,56.9,[47.7-65.7],Q4,Total,Total
"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",NCD_BMI_18C,Kenya,KEN,2003,17.790775,17.8,[11.9-24.2],Male,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2019,7371.086441,7371,,Both sexes,Urban,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2000,6,6.0,[4.8-7.5],36 to 59 months,Rural,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2007,8858.77417,8859,,Both sexes,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2000,38.8,38.8,[36.1-41.6],36 to 59 months,Total,Total
"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",NCD_BMI_30C,Kenya,KEN,2015,12.305261,12.3,[11.0-13.6],Female,Urban,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2022,,Yes,,Ban on deceitful terms on smokeless tobacco packaging,Total,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,1995,0.83640423,0.8,[0.3-2.0],Both sexes,Total,Total
Tobacco Warning: W3 anti-tobacco mass-media campaigns,TOBACCO_MPOWER_W3_MASSMEDIA,Kenya,KEN,2022,,Yes,,Earned media/public relations were used to promote the campaign,Urban,Total
Estimate of current tobacco smoking prevalence (%) (age-standardized rate),M_Est_smk_curr_std,Kenya,KEN,2010,22.9,22.9,[18.8-27.0],Male,Rural,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2005,1.3,1.3,[0.6-2.8],54 to 59 months,Total,Total
"Prevalence of diabetes, age-standardized",NCD_DIABETES_PREVALENCE_AGESTD,Kenya,KEN,1990,4.3660421,4.4,[1.5-9.4],Male,Total,Total
"Introduction of solid, semi-solid or soft foods 6-8 months",NUT_CF_ISSSF,Kenya,KEN,2014,79.7,79.7,[75.6-83.3],Total,Urban,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2000,19.4,19.4,[18.0-21.0],Rural,Total,Total
Ambient air pollution attributable DALYs,AIR_7,Kenya,KEN,2018,21276.422,21 276,[7784-37 190],Male,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2002,118.929126,119,,Both sexes,Urban,Total
Number of deaths among adolescents (10 to 19 years of age),DEATHADO,Kenya,KEN,2010,11589,11 589,[9074-14 488],Both sexes,Rural,Total
Reported number of children receiving antiretroviral therapy,HIV_0000000011,Kenya,KEN,2003,0,0,,,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2022,0.7,0.7,[0.4-1.1],48 to 59 months,Total,Total
Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),GHED_OOPSCHE_SHA2011,Kenya,KEN,2006,39.19218826,39.19,,,Urban,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,2006,67.57073919,67.6,[60.9-74.4],Both sexes,Total,Total
"Alcohol, former drinkers (%), age-standardized",SA_0000001414,Kenya,KEN,2004,11.3380079,11.3,[10.3 - 12.5],Male,Total,Total
Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),NTD_5,Kenya,KEN,2017,0,0,,,Urban,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2022,8.1,8.1,[6.4-10.2],Female,Rural,Total
Total density per million population: Linear Accelerator,DEVICES12,Kenya,KEN,2013,0,0,,,Total,Total
"Overweight numbers among children under 5 years of age (thousands), model-based estimates",NUTOVERWEIGHTNUM,Kenya,KEN,2020,117.8,117.8,[98.0-142.2],Female,Total,Total
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),WHOSIS_000004,Kenya,KEN,2006,413.1510472,413,,Female,Urban,Total
"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_42,Kenya,KEN,2010,29.04,29,[17-42],Female,Total,Total
Number of neonatal deaths,CM_03,Kenya,KEN,2009,35563,35 563,[32 199-39 300],Both sexes,Total,Total
Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),WHS8_110,Kenya,KEN,2017,84,84,,,Urban,Total
Prevalence of anaemia in children aged 6-59 months (%),NUTRITION_ANAEMIA_CHILDREN_PREV,Kenya,KEN,2019,42.8,42.8,[28.0-58.7],Both sexes,Rural,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,1991,0.257920388,0.26,[0.02 - 1.08],Urban,Total,Total
"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",FINPROTECTION_CATA_TOT_10_POP,Kenya,KEN,2005,4.97,4.97,,Below 60 years old,Total,Total
Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),GHED_GGHE-DGDP_SHA2011,Kenya,KEN,2016,2.03529072,2.04,,,Urban,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2008,8.2,8.2,[4.8-13.5],Male,Total,Total
Other taxes on beverages (%),TAXBEV_OTHERTAXES,Kenya,KEN,2024,0.14,0.14,,Alcoholic,Total,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2001,2.0595537,2.1,[0.6-4.9],Both sexes,Urban,Total
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Kenya,KEN,2007,2704.2,2704.2,[1554.7-4175.0],Female,Rural,Total
Pertussis - number of reported cases,WHS3_43,Kenya,KEN,1998,290,290,,,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2000,0.01069,0,,1-59 months,Total,Total
"Mean total cholesterol,  crude",NCD_CHOL_MEANTOTALCHOL_C,Kenya,KEN,2017,4,4.0,[3.7-4.4],Female,Urban,Total
"Substance use disorders service coverage, availability and quantity of specialized human workforce",SCSUD_HWFAVAILABILITY,Kenya,KEN,2023,0,0,,41_02_available_addiction_medicine_specialists,Total,Total
Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Kenya,KEN,2017,83.9,83.9,[71.3 - 92.6],Total,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2014,1.2,1.2,[1.0-1.4],Wealth - Bottom 60%,Urban,Total
BCG immunization coverage among 1-year-olds (%),WHS4_543,Kenya,KEN,2013,92,92,,,Rural,Total
Adolescent birth rate (per 1000 women),MDG_0000000003,Kenya,KEN,2010,3.560096741,3.6,,Female,Total,Total
Household and ambient air pollution attributable DALYs,AIR_60,Kenya,KEN,2019,38757.617,38 758,[26 032-56 374],Female,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2022,3.2,3.2,[2.5-3.9],12 to 23 months,Urban,Total
Tobacco Warning: W1a cigarette packaging health warnings,TOBACCO_MPOWER_W1A_CIGARETTES,Kenya,KEN,2012,,Yes,,"Font style, font size and colour of health warnings are mandated for cigarette packaging",Total,Total
Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for prevention for alcohol and drugs,RSUD_180,Kenya,KEN,2014,,Yes,,Representatives of people with alcohol use disorders,Total,Total
Reported number of people requiring interventions against NTDs,SDGNTDTREATMENT,Kenya,KEN,2014,12283203,12 283 203,,,Urban,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2003,6.9,6.9,[5.8-8.3],None and primary education,Rural,Total
Number of deaths among children ages 5 to 9 years,CM_04,Kenya,KEN,2011,3467,3467,[2898-4145],Female,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,1993,21.5,21.5,[18.4-24.9],Male,Total,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2021,,No,,Palliative care in the public health system,Urban,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2001,25.3,25.3,[10.1 - 46.5],Urban,Total,Total
"Mean Non-HDL cholesterol, age-standardized",NCD_CHOL_MEANNONHDL_A,Kenya,KEN,2000,2.6,2.6,[2.4-2.8],Both sexes,Total,Total
"Tobacco Warning: W2a cigarette packaging health warnings, other characteristics",TOBACCO_MPOWER_W2A_CIGARETTES,Kenya,KEN,2008,,No,,Plain packaging of cigarettes is mandatory,Urban,Total
"Tobacco MPOWER overview: Monitor, Protect people, Offer help, Warn of dangers, Enforce bans, Raise taxes",TOBACCO_MPOWER_OVERVIEW,Kenya,KEN,2012,2,2,,Protect from tobacco smoke,Rural,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2000,0,0,[0 - 0.15],Rural,Total,Total
Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),WHOSIS_000016,Kenya,KEN,2004,8.449369522,8.4,[7.3-9.7],Male,Total,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2016,,No,,Display of expiry dates is prevented on smokeless tobacco packaging,Urban,Total
"Overweight numbers among children under 5 years of age (thousands), model-based estimates",NUTOVERWEIGHTNUM,Kenya,KEN,2008,191.3,191.3,[168.5-218.0],Female,Total,Total
Exclusive breastfeeding under six months,NUT_BF_EBF,Kenya,KEN,1989,23,23,,Total,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2011,1.9,1.9,,Male,Urban,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2016,6.9,6.9,[4.9-9.7],42 to 47 months,Rural,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2009,0,0,,Both sexes,Total,Total
"Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average",SA_0000001404,Kenya,KEN,2006,8.238255236,8.2,[3.5 - 13.9],Both sexes,Total,Total
"Prevalence of diabetes, crude",NCD_DIABETES_PREVALENCE_CRUDE,Kenya,KEN,1991,3.7771024,3.8,[1.2-8.6],Female,Urban,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2014,33.3,33.3,[32.1-34.6],Wealth - Bottom 40%,Total,Total
"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",NCD_BMI_30C,Kenya,KEN,1994,1.0870204,1.1,[0.5-2.0],Male,Total,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,1991,95.5,95.5,[86.1 - 99.4],Rural,Urban,Total
Estimated number of MDR/RR-TB incident cases,TB_e_inc_rr_num,Kenya,KEN,2019,1600,1600,[800-2300],,Rural,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2023,,Yes,,Country capacity targets,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2014,25.5,25.5,[23.6-27.5],Q3,Total,Total
UHC Service Coverage sub-index on service capacity and access,UHC_SCI_CAPACITY,Kenya,KEN,2010,41,41,,,Urban,Total
Population with primary reliance on polluting fuels and technologies for cooking (in millions),PHE_HHAIR_POP_POLLUTING_FUELS,Kenya,KEN,2007,7.231497825,7.23,[5.7 - 8.13],Urban,Total,Total
Continued breastfeeding 12-23 months,NUT_BF_CBF,Kenya,KEN,2003,76.3,76.3,[73.3-79.0],Total,Total,Total
"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS1C,Kenya,KEN,2019,12.160741,12.2,[7.0-18.7],Female,Urban,Total
Measles - number of reported cases,WHS3_62,Kenya,KEN,1997,3339,3339,,,Rural,Total
Under-five mortality rate (probability of dying by age 5 per 1000 live births),MDG_0000000007,Kenya,KEN,2016,46.12109894,46.1,[41.4-51.4],Both sexes,Total,Total
Number of deaths among children ages 5 to 9 years,CM_04,Kenya,KEN,1993,4799,4799,[4226-5444],Male,Total,Total
Number of children aged 6-59 months with anaemia (thousands),NUTRITION_ANAEMIA_CHILDREN_NUM,Kenya,KEN,2009,1220,1220,[804-1670],Moderate,Urban,Total
Estimate of current tobacco use prevalence (%) (age-standardized rate),M_Est_tob_curr_std,Kenya,KEN,2030,2,2.0,[1.1-3.0],Female,Total,Total
Household air pollution attributable deaths,AIR_11,Kenya,KEN,2014,119.496,119,[103-134],Female,Total,Total
Egg and/or Flesh Food Consumption 6-23 months,NUT_CF_EFF,Kenya,KEN,2014,29.1,29.1,[26.5-31.8],Wealth - Bottom 60%,Urban,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2021,,No,,Procedures for NCD management at higher levels of the public health system,Rural,Total
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Kenya,KEN,2011,364.2,364.2,[233.2-505.8],Female,Total,Total
Hospital beds (per 10 000 population),WHS6_102,Kenya,KEN,2019,13.3,13.3,,,Total,Total
Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),WHOSIS_000004,Kenya,KEN,2002,494.1511731,494,,Male,Urban,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2000,50.9,50.9,[47.5-54.3],Q1 (Poorest),Total,Total
"Alcohol, consumers past 12 months (%), age-standardized",SA_0000001413,Kenya,KEN,2002,20.1165631,20.1,[18.3 - 22.0],Female,Total,Total
Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),MDG_0000000001,Kenya,KEN,1981,71.56915199,71.6,[66.5-76.7],Male,Urban,Total
Estimate of current cigarette smoking prevalence (%) (age-standardized rate),M_Est_cig_curr_std,Kenya,KEN,2021,0.3,0.3,[0.2-0.5],Female,Rural,Total
Tobacco Warning: W1a cigarette packaging health warnings,TOBACCO_MPOWER_W1A_CIGARETTES,Kenya,KEN,2024,,Yes,,Health warnings on cigarette packaging must include a photograph or graphic,Total,Total
Ambient air pollution attributable deaths,AIR_41,Kenya,KEN,2016,136.205,136,[28-331],Female,Total,Total
Population with primary reliance on clean fuels and technologies for cooking (in millions),PHE_HHAIR_POP_CLEAN_FUELS,Kenya,KEN,1990,0.01150214,0.01,[0 - 0.39],Urban,Urban,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2006,2.00874,2,,0-27 days,Total,Total
"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",NUTRITION_WH_3,Kenya,KEN,2003,0.6,0.6,[0.3-1.5],Male,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2003,1.02946,1,,1-59 months,Urban,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,2022,2.6,2.6,[1.9-3.6],Q5 (Richest),Rural,Total
"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",PHE_HHAIR_PROP_POP_CATEGORY_FUELS,Kenya,KEN,2004,0.4,0.4,[0 - 1.6],Total,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2014,9.2,9.2,[8.0-10.6],Q3,Total,Total
Household air pollution attributable deaths,AIR_11,Kenya,KEN,2016,1724.207,1724,[1385-2088],Female,Urban,Total
Availability of government/registered services for assistive technology,ASSISTIVETECH_Q05,Kenya,KEN,2021,,No coverage,,Services related to Communication,Total,Total
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",NUTRITION_ANT_WHZ_NE2,Kenya,KEN,2003,12.3,12.3,[9.8-15.4],Male,Total,Total
UHC Service Coverage sub-index on noncommunicable diseases,UHC_SCI_NCD,Kenya,KEN,2011,60,60,,,Urban,Total
Proportion of population with primary reliance on clean fuels and technologies for cooking (%),PHE_HHAIR_PROP_POP_CLEAN_FUELS,Kenya,KEN,2007,1.2,1.2,[0.1-3.8],Rural,Rural,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,1994,40.3,40.3,[38.1-42.5],Female,Total,Total
"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",AIR_62,Kenya,KEN,2016,3541.568,3542,[3059-4018],Both sexes,Total,Total
Crude suicide rates (per 100 000 population),SDGSUICIDE,Kenya,KEN,2021,3.88344264,3.9,,Male,Urban,Total
New cases tested for RR-/MDR-TB (%),TB_c_dst_rlt_new_pct,Kenya,KEN,2021,63,63,,,Total,Total
"Alcohol, abstainers past 12 months (%), age-standardized",SA_0000001411,Kenya,KEN,2010,70.5392061,70.5,[67.9 - 73.2],Both sexes,Total,Total
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",NCD_BMI_25C,Kenya,KEN,2007,27.020863,27.0,[25.1-28.9],Female,Urban,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2020,0,0,[0 - 0.23],Rural,Rural,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2002,0.4281,0.4,,0-27 days,Total,Total
"Alcohol, average daily intake in grams among drinkers, three-year average",SA_0000001751,Kenya,KEN,2013,25.87995158,25.9,[11.6 - 41.9],Male,Total,Total
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",NCD_BMI_25C,Kenya,KEN,1994,11.336149,11.3,[9.7-13.2],Both sexes,Urban,Total
"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS1C,Kenya,KEN,2008,10.890473,10.9,[9.2-12.8],Female,Total,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2019,,No,,Procedures for NCD management at higher levels of the public health system,Total,Total
"Alcohol, former drinkers (%), age-standardized",SA_0000001414,Kenya,KEN,2017,11.343673,11.3,[10.3 - 12.5],Female,Urban,Total
Continued breastfeeding 12-23 months,NUT_BF_CBF,Kenya,KEN,2003,77.5,77.5,[73.3-81.2],Female,Rural,Total
Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),NCD_PAC,Kenya,KEN,2012,9.8538542,9.9,[5.5-15.4],Female,Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2012,7284.03606,7284,,Both sexes,Total,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,2020,3.7255764,3.7,[1.5-7.1],Both sexes,Urban,Total
"Prevalence of diabetes, crude",NCD_DIABETES_PREVALENCE_CRUDE,Kenya,KEN,2013,3.0353354,3.0,[1.6-5.0],Male,Total,Total
"Tobacco Warning: W2c smokeless tobacco packaging health warnings, other characteristics",TOBACCO_MPOWER_W2C_TOBACCOSMOKELESS,Kenya,KEN,2014,,Yes,,Smokeless tobacco packaging and labelling must display qualitative information on emission yields,Total,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,1994,13.7,13.7,[11.1-16.8],0 to 11 months,Urban,Total
Healthy life expectancy (HALE) at age 60 (years),WHOSIS_000007,Kenya,KEN,2004,13.39089542,13.4,[12.8-14.0],Female,Rural,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2019,,No,,NCD-related medicines,Total,Total
Life expectancy at birth (years),WHOSIS_000001,Kenya,KEN,2019,64.06662086,64.1,[63.4-64.9],Male,Total,Total
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS2C,Kenya,KEN,1999,0.98482473,1.0,[0.4-2.1],Female,Urban,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2021,,Yes,,"Policies, strategies and plans",Total,Total
"Number of deaths in children aged <5 years, by cause",MORT_100,Kenya,KEN,2005,910.80193,910.8,,Both sexes,Total,Total
Household and ambient air pollution attributable DALYs,AIR_60,Kenya,KEN,2016,75665.209,75 665,[57 481-90 431],Male,Urban,Total
Domestic general government health expenditure (GGHE-D) per capita in US$,GHED_GGHE-D_pc_US_SHA2011,Kenya,KEN,2022,42.26814462,42.27,,,Rural,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2023,,Yes,,"Policies, strategies and plans",Total,Total
Automatic adjustment of specific excise on beverage,TAXBEV_EXCISE_AUTOADJUST,Kenya,KEN,2024,,No,,Alcoholic,Total,Total
"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_42,Kenya,KEN,2018,7.633,8,[3-13],Female,Urban,Total
"Household air pollution attributable death rate (per 100 000 population, age-standardized)",AIR_52,Kenya,KEN,2019,113.31,113,[94-134],Both sexes,Total,Total
"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",NCD_BMI_MINUS2C,Kenya,KEN,2019,6.3198276,6.3,[4.5-8.5],Female,Total,Total
NCD country capacity survey response,NCDCCS_COUNTRYRESPONSE,Kenya,KEN,2015,,Yes,,Palliative care in the public health system,Urban,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2016,3.99432,4,,1-59 months,Rural,Total
Rubella - number of reported cases,WHS3_57,Kenya,KEN,2018,24,24,,,Total,Total
"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",PHE_HHAIR_POP_CATEGORY_FUELS,Kenya,KEN,2014,0.011614471,0.01,[0 - 0.15],Urban,Total,Total
Deaths per 1 000 live births,MORT_200,Kenya,KEN,2014,3.98613,4,,1-59 months,Urban,Total
"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",NCD_BMI_30A,Kenya,KEN,2006,8.9156054,8.9,[7.7-10.2],Female,Total,Total
Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),CHILDMORT5TO14,Kenya,KEN,2013,8.773582394,8.8,[7.2-10.6],Both sexes,Total,Total
Population with primary reliance on polluting fuels and technologies for cooking (in millions),PHE_HHAIR_POP_POLLUTING_FUELS,Kenya,KEN,2020,7.309149843,7.31,[4.11 - 10.6],Urban,Urban,Total
Adolescent mortality rate (per 1 000 age specific cohort),MORTADO,Kenya,KEN,2008,8.867471687,8.9,[7.2-10.8],Both sexes,Rural,Total
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",NUTRITION_WH_2,Kenya,KEN,1994,8.8,8.8,[5.7-13.4],54 to 59 months,Total,Total
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",NUTRITION_ANT_HAZ_NE2,Kenya,KEN,2003,28.8,28.8,[26.1-31.6],Wealth - Top 40%,Total,Total
"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",NCD_BMI_PLUS1C,Kenya,KEN,1991,4.8441324,4.8,[2.4-8.5],Both sexes,Urban,Total
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",NUTRITION_WA_2,Kenya,KEN,2016,13,13.0,[12.0-14.1],6 to 59 months,Total,Total
Number of deaths among adolescents (10 to 19 years of age),DEATHADO,Kenya,KEN,2010,6683,6683,[5174-8449],Male,Total,Total
"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",AIR_90,Kenya,KEN,2012,238.043,238,[88-417],Male,Urban,Total
"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",AIR_62,Kenya,KEN,2017,374.882,375,[244-551],Both sexes,Rural,Total
"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",NCD_BMI_25A,Kenya,KEN,2020,43.087018,43.1,[40.1-46.1],Female,Total,Total
Beverage price,TAXBEV_PRICE,Kenya,KEN,2022,0.32,0.32,,Non-alcoholic,Total,Total
"Mean HDL cholesterol, age-standardized",NCD_CHOL_MEANHDL_A,Kenya,KEN,1995,1.1,1.1,[0.9-1.3],Male,Urban,Total
Number of infant deaths,CM_02,Kenya,KEN,1985,54931,54 931,[51 348-58 704],Both sexes,Total,Total
